case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,20,2,843.8023944670213,831.5745845105534,1012.7980474480247
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1567.598935956914,1563.7056819868594,1581.10057035422
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1569.6152526077553,1555.918187959591,1573.9574933165593
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1021.1157514249239,1019.0770437209113,1031.2355165804497
nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,341.28351114725433,340.51826565974307,344.7959432943248
asum+4096+uniform,ok,direct,arithmetic,policy,20,2,274.7657197043983,273.44441594236514,278.71595355645974
sum+4096+uniform,ok,direct,arithmetic,policy,20,2,200.80937937349526,197.43606874934656,229.93845370844812
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,3716.4413531643513,3705.3253188220706,3820.5694765167273
iamax+64+uniform,ok,direct,arithmetic,policy,20,2,25.193135845899345,25.136512407227436,25.605708020669603
iamax+128+uniform,ok,direct,arithmetic,policy,20,2,47.83678129255183,47.72608413476847,48.00794787323509
iamax+256+uniform,ok,direct,arithmetic,policy,20,2,93.16736639687622,92.97526053996246,93.39147054502033
iamax+512+uniform,ok,direct,arithmetic,policy,20,2,183.42062239195286,183.1595352145294,203.89091018343402
iamax+1024+uniform,ok,direct,arithmetic,policy,20,2,364.5686343754917,363.6604572503942,366.1779981451095
iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,988.5205983653111,987.0431800813509,992.4924922543066
iamax+65536+uniform,ok,direct,arithmetic,policy,20,2,12831.059573681385,12501.004305503557,13612.948170316964
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2772.6933979279784,2768.1221070978986,2783.3743396541176
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3732.3588191913414,3712.8624846978523,3747.307067303192
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3975.2563433087184,3969.458251541649,4000.754177326511
rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,12.745021371819378,12.506388137636405,13.020405132269401
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,865.8332120940443,850.9431298764803,1011.8143808228734
dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,2081.637227799819,1730.156459880198,2436.119297092719
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,2713.763332958898,2698.1386494639873,2928.2352812079357
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,2199.5108417796696,2081.396732970792,2303.475357948529
